x_mm,y_mm,r_mm,ekin_MeV
-16.9143,5.23381,0.836795,5.48175
0.174513,1.86975,0.83828,5.4425
5.94108,-2.1446,0.838308,5.45288
7.42472,-2.60953,0.838976,5.45326
-0.816229,-8.45226,0.839203,5.43208
-4.93519,-1.6643,0.840792,5.39348
3.53354,7.62095,0.840813,5.47536
10.193,2.83585,0.841692,5.44327
-6.68761,-10.8152,0.841713,5.46199
-8.71594,-3.6371,0.842531,5.43348
9.30592,0.5498,0.842583,5.46411
0.295034,3.61877,0.842725,5.47136
1.85463,5.0877,0.843299,5.43945
-2.06782,7.65056,0.843431,5.41046
1.87676,-2.8375,0.844624,5.36704
12.0208,0.621081,0.84473,5.42374
0.590742,-1.70537,0.844903,5.45619
-2.32617,11.632,0.846126,5.44792
16.0077,-6.9591,0.846493,5.46893
-2.04821,-0.544894,0.846656,5.4702
-2.6814,-6.70993,0.846697,5.46566
0.496376,6.31755,0.847221,5.461
4.28546,2.70434,0.847677,5.45121
-1.50255,-0.37755,0.84942,5.46292
0.154354,-0.863315,0.850047,5.46304
8.08353,-6.61433,0.850546,5.47258
-4.34938,6.48437,0.850837,5.47125
-7.93018,3.45571,0.852039,5.4104
-5.39251,-2.6703,0.852112,5.49157
-3.69701,0.850595,0.853281,5.38107
1.95852,-2.87311,0.853793,5.4641
-6.23575,2.63296,0.854056,5.43237
5.10235,-0.260349,0.855668,5.45785
-6.14396,16.5686,0.856432,5.47099
-0.451341,2.48811,0.856478,5.45931
4.00129,1.34632,0.856634,5.39994
-7.66191,-3.3274,0.856676,5.46924
-15.5732,2.18626,0.856712,5.44688
-4.22644,1.67076,0.857208,5.46977
-3.99867,2.9572,0.857419,5.48908
